Scilab 5.5.2 (Apr  6 2016, 20:24:15)
1.000000  -35.493533  -34.147743
2.000000  -33.613938  -32.852477
3.000000  -33.182488  -32.240885
4.000000  -32.853856  -32.109386
5.000000  -31.685833  -31.327752
6.000000  -31.608760  -31.004468
7.000000  -31.011320  -30.666249
8.000000  -30.568276  -30.291722
9.000000  -30.517210  -29.961102
10.000000  -30.251394  -29.635931
11.000000  -29.671857  -29.422161
12.000000  -29.453672  -28.710756
13.000000  -28.975492  -28.401247
14.000000  -28.534664  -28.254850
15.000000  -28.317389  -27.906297
16.000000  -27.912808  -27.506228
17.000000  -27.533417  -27.445877
18.000000  -27.252134  -27.270667
19.000000  -26.986492  -26.895568
20.000000  -26.705100  -26.586771
21.000000  -26.107936  -26.140613
22.000000  -25.984287  -26.006317
23.000000  -25.902372  -25.762869
24.000000  -25.846558  -25.565027
25.000000  -25.600196  -25.248942
26.000000  -25.119799  -25.026213
27.000000  -24.856324  -24.654819
28.000000  -24.649501  -24.391722
29.000000  -24.278728  -24.331677
30.000000  -24.150203  -23.756051
31.000000  -23.853538  -23.646813
32.000000  -23.492817  -23.527538
33.000000  -23.299465  -23.210240
34.000000  -22.905376  -23.037709
35.000000  -22.657473  -22.697263
36.000000  -22.258510  -22.394960
37.000000  -21.969978  -22.275793
38.000000  -21.770546  -21.899620
39.000000  -21.463986  -21.833411
40.000000  -21.295571  -21.558179
41.000000  -21.184708  -21.263651
42.000000  -21.028794  -21.110505
43.000000  -20.745592  -20.860379
44.000000  -20.632311  -20.659143
45.000000  -20.099122  -20.439629
46.000000  -19.994215  -20.419902
47.000000  -19.903876  -20.276075
48.000000  -19.705301  -19.777355
49.000000  -19.589620  -19.610200
50.000000  -19.367035  -19.404004
51.000000  -19.196881  -19.256893
52.000000  -18.840273  -18.989773
53.000000  -18.667753  -18.772071
54.000000  -18.452670  -18.645182
55.000000  -18.337293  -18.341709
56.000000  -18.038390  -18.245033
57.000000  -17.961585  -18.121119
58.000000  -17.724823  -17.802776
59.000000  -17.526860  -17.673580
60.000000  -17.265766  -17.403814
61.000000  -16.950162  -17.043937
62.000000  -16.674383  -16.939439
63.000000  -16.645217  -16.698654
64.000000  -16.467330  -16.512962
65.000000  -16.265117  -16.163089
66.000000  -16.089039  -16.087627
67.000000  -15.990097  -15.898875
